title,songTitle,artist,release,album,genre,lyricist,composer,arranger,work,opEd,Length
Yume no Tojou,Yume no Tojou,戸定梨香,2023年7月4日,,オリジナル,RUCCA（ルッカ）,ヴィーナス・シンコ,,,,
僕らは戸定建設員,僕らは戸定建設員,戸定梨香,2023年7月4日,,オリジナル,ヴィーナス・シンコ,ヴィーナス・シンコ,,,,
青いベンチ (MCあり),青いベンチ,サスケ,2004年,青いベンチ～好きだった…誰にも言えない恋だった～,J-POP,北清水雄太,北清水雄太,,,,
青いベンチ,青いベンチ,サスケ,2004年,青いベンチ～好きだった…誰にも言えない恋だった～,J-POP,北清水雄太,北清水雄太,,,,
ハッピー☆ラッキー・バースデー! ※メンバー限定,ハッピー☆ラッキー・バースデー！,mao,2012年12月18日,,ドラえもん,マイクスギヤマ,沢田完,沢田完,ドラえもん,ED,
"夏色えがおで1,2,Jump!","夏色えがおで1,2,Jump!",μ's,2011年8月24日, μ's Best Album Best Live! collection,アニソン,畑亜貴,佐々倉有吾,,ラブライブ！,キャラソン,4分32秒
"夏色えがおで1, 2, Jump!","夏色えがおで1,2,Jump!",μ's,2011年8月24日, μ's Best Album Best Live! collection,アニソン,畑亜貴,佐々倉有吾,,ラブライブ！,キャラソン,4分32秒
命ばっかり,命ばっかり,ぬゆり,2017年,,ボカロ,ぬゆり,ぬゆり,,,,
スシ食いねェ！,スシ食いねェ！,シブがき隊,1986年,,J-POP,秋元康,後藤次利,,,,
私、アイドル宣言,私、アイドル宣言,じん,2014年,,ボカロ,じん,じん,,,,
サンタさん,サンタさん,ももいろクローバーZ,2011年11月23日,5TH DIMENSION,J-POP,前田たかひろ,NARASAKI,NARASAKI,,,
人生リセットボタン,人生リセットボタン,kemu,2012年,,ボカロ,kemu,kemu,,,,
どこまでも ～How Far I'll Go～,どこまでも～How Far I'll Go～,屋比久知奈,2017年,モアナと伝説の海 オリジナル・サウンドトラック,ディズニー,林真里江,林真里江,,モアナと伝説の海,挿入歌,
レット・イット・ゴー ～ありのままで～,レット・イット・ゴー～ありのままで～,松たか子,2014年,アナと雪の女王 オリジナル・サウンドトラック,ディズニー,Kristen Anderson-Lopez,Robert Lopez,,アナと雪の女王,挿入歌,
ファンサ,ファンサ,mona（夏川椎菜）,2019年,Log,J-POP,DECO*27,DECO*27,,,,
ハレ晴レユカイ,ハレ晴レユカイ,平野綾、茅原実里、後藤邑子,2006年5月10日,,アニソン,畑亜貴,田代智一,,涼宮ハルヒの憂鬱,ED,
うまぴょい伝説,うまぴょい伝説,ウマ娘 プリティーダービー,2016年,スマホゲーム『ウマ娘 プリティーダービー』STARTING GATE 01 (2021 Remastered Version),アニソン,本田晃弘,本田晃弘,本田晃弘,ウマ娘 プリティーダービー,挿入歌,
お願い!シンデレラ,お願い！シンデレラ, THE IDOLM@STER CINDERELLA GIRLS for BEST5!,2014年,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,アニソン,marhy,NBSI（内田哲也）,NBSI（内田哲也）,THE IDOLM@STER CINDERELLA GIRLS,OP,
はなまるぴっぴはよいこだけ,はなまるぴっぴはよいこだけ,A応P,2015年,A応P,アニソン,あさき,96,96,おそ松さん,OP,
暗殺プリンセス,暗殺プリンセス,初音ミク,2019年,バーチャル・ポップスター,ボカロ,Mitchie M,Mitchie M,Mitchie M,,,
はろうぃんないと,はろうぃんないと,戸定梨香,2020年10月25日,,オリジナル,ヴィーナス・シンコ,ヴィーナス・シンコ,,ASE,,
青,青,MAYU,2012/11/30,,ボカロ,164,164,164,,,
打上花火,打上花火,DAOKO×米津玄師,2017年,,J-POP,米津玄師,米津玄師,,打ち上げ花火、下から見るか？ 横から見るか？,主題歌,
Believe in yourself,Believe in yourself,阿部真央,2014年,Believe in yourself,アニソン,阿部真央。,阿部真央。,akkin,ベイビーステップ,OP,
幽霊東京,幽霊東京,初音ミク,2019年11月17日,,ボカロ,Ayase,Ayase,Ayase,,,
うちで踊ろう,うちで踊ろう,星野源,2021年,不思議/創造,J-POP,星野源,星野源,,安倍晋三,,
アルカホリック・ランデヴー,アルカホリック・ランデヴー,v flower,:2019年,,ボカロ,くじら,くじら,くじら,,,
Rusty Nail,Rusty Nail,X JAPAN,1994年7月10日,DAHLIA,J-POP,YOSHIKI,YOSHIKI,,君が見えない,主題歌,
ダンシング・ヒーロー(Eat You Up),ダンシング・ヒーロー(Eat You Up),荻野目洋子,1985年,荻野目洋子 ザ・ベスト,J-POP,篠原仁志,A.Kyte / T.Baker,馬飼野康二,,,
自由への扉,自由への扉,小此木麻里,2010年,,ディズニー,"GLENN SLATER , 高橋知伽江",ALAN MENKEN,,塔の上のラプンツェル,挿入歌,
チバケンサンバ,チバケンサンバ,戸定梨香,2024年10月26日,,オリジナル,カミナリ / 戸定梨香,カミナリコゾウ,直江香世子 // DJ No.2,南のちば,,
恋は最後のフェアリー・テール,恋は最後のフェアリー・テール,すかんち,1994年,GOLD,J-POP,森雪之丞,ロ−リ−寺西,佐久間正英・すかんち,ゲーム・オン!,CMソング,
むぅむぅちゃんバースデー,恋は最後のフェアリー・テール,戸定梨香,2024/06/06,,オリジナル,ヴィーナス・シンコ,ヴィーナス・シンコ,,,,
むぅむぅお誕生日おめでとう,むぅむぅお誕生日おめでとう,戸定梨香,2024/06/06,,オリジナル,ヴィーナス・シンコ,ヴィーナス・シンコ,,,,
ジングル・ベル,ジングル・ベル,,1857年,,クリスマス,ピアポント,ピアポント,,,,
冬がはじまるよ,冬がはじまるよ,槇原敬之,1992年,君は僕の宝物,J-POP,槇原敬之,槇原敬之,槇原敬之,サッポロビール「冬物語」,CMソング,
クリスマス・イブ,クリスマス・イブ,山下達郎,1983年12月14日,MELODIES,J-POP,山下達郎,山下達郎,,JR東海のクリスマス・エクスプレス,CMソング,
いつか空に届いて,いつか空に届いて,椎名恵,1991年,機動戦士ガンダム・オデッセイ,ガンダム,椎名恵,椎名恵,戸塚修,機動戦士ガンダム0080 ポケットの中の戦争,主題歌,
あわてんぼうのサンタクロース,あわてんぼうのサンタクロース,坂田おさむと神崎ゆう子,2006年2月22日,ベスト・セレクション「楽しいクリスマス・ソング」,クリスマス,吉岡治,小林亜星,越部信義,,,
いつかのメリークリスマス,いつかのメリークリスマス,B'z,1992年,FRIENDS,J-POP,稲葉浩志,松本孝弘,,恋は舞い降りた,挿入歌,
Snow Fairy Story,Snow Fairy Story,初音ミク,2016年,ショートストーリー,ボカロ,40mP,40mP,40mP,,,
雪の華,雪の華,中島美嘉,2003年10月1日,LØVE ,J-POP,Satomi,松本良喜,松本良喜,明治製菓「boda」「galbo」,CMソング,
You're My Only Shinin' Star,You're My Only Shinin' Star,中山 美穂,1986年,SUMMER BREEZE,J-POP,角松敏生,角松敏生,,な・ま・い・き盛りスペシャル,ED,
SWEET MEMORIES,SWEET MEMORIES,松田聖子,1983年,Seiko・plaza,J-POP,松本隆,細野晴臣、大村雅朗,,サントリーCANビール,CMソング,
遠い街のどこかで…,遠い街のどこかで…,中山 美穂,1991年11月1日,Miho's Select,J-POP,渡邉美佳,中崎英也,中崎英也,逢いたい時にあなたはいない…,主題歌,
世界中の誰よりきっと,世界中の誰よりきっと,中山 美穂,1993年,Dramatic Songs,J-POP,上杉昇、中山美穂,織田哲郎,葉山たけし,誰かが彼女を愛してる,主題歌,
POP IN 2,POP IN 2,B小町 ルビー（CV：伊駒ゆりえ）、有馬かな（CV：潘めぐみ）、MEMちょ（CV：大久保瑠美）,2024年,TVアニメ「【推しの子】」キャラクターソングCD Vol.4,アニソン,つむぎしゃち,久下真音、つむぎしゃち,久下真音,【推しの子】,キャラソン,
こんなあたしはいかがですか,こんなあたしはいかがですか,超ときめき♡宣伝部,2024年,ときめきルールブック,J-POP,コレサワ,コレサワ,,,,
すきっ!,すきっ！,超ときめき♡宣伝部,2018年,ときおとめ,J-POP,中村瑛彦,中村瑛彦,伊東大和,,,
愛包ダンスホール,愛包ダンスホール,ヒメヒナ,2024年,ヒトガタ/愛包ダンスホール,J-POP,Gohgo,涼木シンジ,涼木シンジ,,,
Realize!,Realize!,鈴木このみ,2021年8月26日,鈴木このみ5thアルバム「ULTRA FLASH」,アニソン,篠崎あやと、橘亮祐,篠崎あやと、橘亮祐,,Re:ゼロから始める異世界生活,OP,
わたしの一番かわいいところ,わたしの一番かわいいところ,FRUITS ZIPPER,2022年4月29日,,J-POP,ヤマモトショウ,ヤマモトショウ,,,,
残酷な天使のテーゼ,残酷な天使のテーゼ,高橋洋子,1995年10月25日,NEON GENESIS EVANGELION,アニソン,及川眠子,佐藤英敏,,新世紀エヴァンゲリオン,OP,
絶対アイドル辞めないで,絶対アイドル辞めないで,=LOVE,2024年7月31日,,J-POP,指原莉乃,小池竜暉、菊池博人,小池竜暉、菊池博人,,,
風といっしょに,風といっしょに,小林幸子、 中川翔子,2019年,RGB 〜True Color〜,アニソン,戸田昭吾,たなかひろかず,沢田完,ポケットモンスター,ED,
"Please, please!","Please, please!",大橋 彩香,2023/7/26,,アニソン,Kanata Okajima,Kanata Okajima・pw.a,pw.a,政宗くんのリベンジR,OP,
ETERNAL WIND ～ほほえみは光る風の中～,ETERNAL WIND ～ほほえみは光る風の中～,森口博子,1991年2月5日,Eternal Songs,ガンダム,西脇唯,西脇唯・緒里原洋子,,機動戦士ガンダムF91,ED,
回レ!雪月花,回レ！雪月花,歌組雪月花,2013年11月27日,,アニソン,ヒゲドライバー,ヒゲドライバー,ヒゲドライバー,機巧少女は傷つかない,ED,
私の夏,私の夏,森高 千里,1993年4月10日,LUCKY 7,J-POP,森高千里,斉藤英夫,斉藤英夫,93全日空沖縄,キャンペーンソング,
夢をかなえてドラえもん,夢をかなえてドラえもん,mao,2007年,夢をかなえてドラえもん,ドラえもん,黒須克彦,黒須克彦,,ドラえもん,OP,
星間飛行,星間飛行,YUMIKO,2009年,JAPAN ANIMESONG COLLECTION VOL.29[アニソン・ジャパン],アニソン,松本隆,菅野よう子,,マクロスF,挿入歌,
ドリドリ,ドリドリ,中川翔子,2015.02.18,,アニソン,中川翔子・岩里祐穂,鈴木健太朗,黒須克彦,ポケットモンスターXY,ED,
ライオン,ライオン,May'n/中島愛,2008年8月20日,メイン☆ストリート,アニソン,Gabriela Robin,菅野よう子,,マクロスF,OP,
ω猫,ω猫,AZKi,2023年,3枚目の地図,ボカロ,ナユタン星人,ナユタン星人,,,,
フリージア,フリージア,Uru,2017/02/15,,ガンダム,Uru,岩見直明,トオミヨウ,機動戦士ガンダム 鉄血のオルフェンズ,ED,
晴る,晴る,ヨルシカ,2024年,,アニソン,n-buna,n-buna,,葬送のフリーレン,OP,
Oneway Generation,Oneway Generation,本田美奈子,1987年2月4日,ゴールデンベスト ニューベストナウ,J-POP,秋元康,筒美京平,大谷和夫,パパはニュースキャスター,主題歌,
Sincerely,Sincerely,TRUE,2018年1月31日,,アニソン,唐沢美帆,堀江晶太,,ヴァイオレット・エヴァーガーデン,OP,
ミッキーマウス・マーチ,ミッキーマウス・マーチ,,1955年,,ディズニー,ジミー・ドッド,ジミー・ドッド,,ミッキーマウス・クラブ,OP,
影踏み,影踏み,nano.RIPE,2013年3月,,アニソン,きみコ,きみコ・佐々木淳,,劇場版 花咲くいろは HOME SWEET HOME,主題歌,
愛が生まれた日,愛が生まれた日,大内義昭、 藤谷美和子,1994年,愛が生まれた日,J-POP,秋元康,羽場仁志,萩田光雄,そのうち結婚する君へ,挿入歌,
輝く君へ,輝く君へ,麻帆良学園中等部2-A かなかな組,2005年,輝く君へ,アニソン,ヌマダテゆか、須藤仁美,桑原秀明,,魔法先生ネギま!,ED,
眩暈,眩暈,鬼束ちひろ,2001年3月7日,インソムニア,J-POP,鬼束ちひろ,鬼束ちひろ,羽毛田丈史,エステティックサロン『ラ・パルレ』,CMソング,
ありがとう,ありがとう,いきものがかり,2010年,いきものばかり〜メンバーズBESTセレクション〜,J-POP,水野良樹 ,水野良樹 ,本間昭光,ゲゲゲの女房,主題歌,
ラ♡ブ♡リ♡,ラ♡ブ♡リ♡,三浦あずさ (CV.たかはし智秋),2013年,MASTER ARTIST 2,アニソン,yura,松田信男,松田信男,アイドルマスター,,
キミの花,キミの花,奥華子,2017年1月5日,遥か遠くに見えていた今日,アニソン,Oku Hanako。,Oku Hanako。,Morimoto Takahiro,セイレン,OP,
Wonderful World,Wonderful World,Dream Ami,2021年2月19日,,J-POP,Dream Ami,Ellee Duke、Emily Wright、Kipp Williams,,鴨川シーワールド,テーマソング,
ホール・ニュー・ワールド,ホール・ニュー・ワールド,ブラッド・ケイン、 レア・サロンガ,1992年,,ディズニー,ティム・ライス ,アラン・メンケン ,,アラジン,主題歌,
運命共同体!,運命共同体！,音莉飴,2023/04/08,,アニソン,音莉飴,音莉飴・メブキユウ,MARUMOCHI,女神のカフェテラス,OP,
可愛いあの子が気にゐらない,可愛いあの子が気にゐらない,なるみや,2023年,可愛いあの子が気にゐらない,J-POP,なるみや ,なるみや ,羽生まゐご,,,
START:DASH!!,START:DASH!!,μ's,2013/04/03,,アニソン,畑亜貴,:佐々木裕,:佐々木裕,ラブライブ！,挿入歌,
dear...,dear...,馬場このみ（CV：高橋未奈美(現髙橋ミナミ)）,2014年4月30日,THE IDOLM@STER LIVE THE@TER PERFORMANCE 13,アニソン,KOH,KOH,KOH,アイドルマスター ミリオンライブ！,,
All Alone With You,All Alone With You,EGOIST,2013年,「PSYCHO-PASS サイコパス」Complete Original Soundtrack（配信バージョン）,アニソン,ryo(supercell),ryo(supercell),,PSYCHO-PASS,ED,
Into the Sky,Into the Sky,SawanoHiroyuki[nZk],2016年6月29日,,ガンダム,Benjamin & mpi,澤野弘之,,機動戦士ガンダムUC,OP,
アンダー・ザ・シー,アンダー・ザ・シー,サミュエル・E・ライト,1989年,,ディズニー,ハワード・アッシュマン,アラン・メンケン ,,リトル・マーメイド,主題歌,
STILL LOVE HER (失われた風景),STILL LOVE HER (失われた風景),TM NETWORK,1988年12月9日,CAROL 〜A DAY IN A GIRL'S LIFE 1991〜,アニソン,小室哲哉,小室哲哉、木根尚登,,CITY HUNTER2,ED,
